Qusestion,Iteration,spark,mapReduced
Carrier delay query,Iteration1,8.795,16.777
NAS delay query,Iteration1,7.477,12.859
Weather delay query,Iteration1,7.462,13.042
Late aircraft delay query,Iteration1,7.129,14.713
Security delay query,Iteration1,7.19,14.941
Carrier delay query,Iteration2,0.363,12.581
NAS delay query,Iteration2,0.283,7.638
Weather delay query,Iteration2,0.308,6.851
Late aircraft delay query,Iteration2,0.301,7.592
Security delay query,Iteration2,0.285,7.205
Carrier delay query,Iteration3,1.016,7.154
NAS delay query,Iteration3,0.439,7.039
Weather delay query,Iteration3,0.429,7.113
Late aircraft delay query,Iteration3,0.315,6.8
Security delay query,Iteration3,0.434,6.935
Carrier delay query,Iteration4,1.016,7.527
NAS delay query,Iteration4,0.439,7.624
Weather delay query,Iteration4,0.429,7.455
Late aircraft delay query,Iteration4,0.315,7.635
Security delay query,Iteration4,0.74,7.719
Carrier delay query,Iteration5,0.989,7.401
NAS delay query,Iteration5,0.432,6.941
Weather delay query,Iteration5,0.423,7.051
Late aircraft delay query,Iteration5,0.345,7.35
Security delay query,Iteration5,0.263,7.535
